param_classifier__criterion,param_classifier__max_depth,param_classifier__min_samples_leaf,param_classifier__min_samples_split,mean_test_score,std_test_score,rank_test_score,mean_train_score
gini,7,10,50,0.29582217981099423,0.017144770624538692,42,0.33197415614380954
gini,7,25,2,0.2945217821587878,0.021554289829494117,43,0.3314686808973343
gini,7,25,20,0.2945217821587878,0.021554289829494117,43,0.3314686808973343
gini,7,25,50,0.2945217821587878,0.021554289829494117,43,0.3314686808973343
gini,3,25,2,0.2829923448163633,0.015189673032263156,46,0.2874241781892442
gini,3,25,20,0.2829923448163633,0.015189673032263156,46,0.2874241781892442
gini,3,25,50,0.2829923448163633,0.015189673032263156,46,0.2874241781892442
gini,5,10,2,0.2806253564982687,0.02072711527122687,49,0.29538067398441015
gini,5,10,20,0.2806253564982687,0.02072711527122687,49,0.29538067398441015
gini,5,1,20,0.2802689691957019,0.020995377248184705,51,0.2992814607982939
entropy,3,25,2,0.2800352707528709,0.009670121254441546,52,0.2838213288833867
entropy,3,25,20,0.2800352707528709,0.009670121254441546,52,0.2838213288833867
entropy,3,25,50,0.2800352707528709,0.009670121254441546,52,0.2838213288833867
gini,5,1,50,0.27999006343627497,0.020081359324816018,55,0.29765754437383435
gini,5,1,2,0.2796593312328226,0.020294994789203373,56,0.29963509515196196
gini,5,10,50,0.2768847041423598,0.022245904411182103,57,0.2928236176010614
gini,5,25,2,0.27325225438177847,0.018955409233609333,58,0.2941350178086638
gini,5,25,20,0.27325225438177847,0.018955409233609333,58,0.2941350178086638
gini,5,25,50,0.27325225438177847,0.018955409233609333,58,0.2941350178086638
entropy,7,1,2,0.27298451333854423,0.016066238248771778,61,0.32069523293535784
entropy,7,1,20,0.2726459954421656,0.01567917741297477,62,0.3167183671166844
entropy,7,1,50,0.2708731860338953,0.018126504841869832,63,0.3099584697876686
entropy,7,25,2,0.26872959331859075,0.02726529839425971,64,0.30116352189824597
entropy,7,25,20,0.26872959331859075,0.02726529839425971,64,0.30116352189824597
entropy,7,25,50,0.26872959331859075,0.02726529839425971,64,0.30116352189824597
gini,3,1,2,0.2644934527788928,0.013399620550498769,67,0.2691405436331148
gini,3,1,20,0.2644934527788928,0.013399620550498769,67,0.2691405436331148
gini,3,1,50,0.2644934527788928,0.013399620550498769,67,0.2691405436331148
gini,3,10,2,0.2644934527788928,0.013399620550498769,67,0.2691405436331148
gini,3,10,20,0.2644934527788928,0.013399620550498769,67,0.2691405436331148
gini,3,10,50,0.2644934527788928,0.013399620550498769,67,0.2691405436331148
entropy,5,10,2,0.2641670376637294,0.011776339087205235,73,0.2747465953106375
entropy,5,10,20,0.2641670376637294,0.011776339087205235,73,0.2747465953106375
entropy,5,10,50,0.2632663953239727,0.010293818171024737,75,0.27315266531495197
entropy,5,1,2,0.26201028239225926,0.010428282002577248,76,0.27640458401894435
entropy,3,1,2,0.261704721792815,0.015908242671444518,77,0.2655886421245539
entropy,3,1,20,0.261704721792815,0.015908242671444518,77,0.2655886421245539
entropy,3,1,50,0.261704721792815,0.015908242671444518,77,0.2655886421245539
entropy,3,10,2,0.261704721792815,0.015908242671444518,77,0.2655886421245539
entropy,3,10,20,0.261704721792815,0.015908242671444518,77,0.2655886421245539
entropy,3,10,50,0.261704721792815,0.015908242671444518,77,0.2655886421245539
entropy,5,1,20,0.2616815268493181,0.012846732765056434,83,0.2745014712822611
entropy,5,1,50,0.2612040221818209,0.01142787002996975,84,0.2724417033675626
entropy,5,25,2,0.26001449025479256,0.018402875696537164,85,0.27573116560970146
entropy,5,25,20,0.26001449025479256,0.018402875696537164,85,0.27573116560970146
entropy,5,25,50,0.26001449025479256,0.018402875696537164,85,0.27573116560970146
entropy,7,10,50,0.2574491890647895,0.02680801246262587,88,0.28603495943527174
entropy,7,10,2,0.2525965165302637,0.02896702791275085,89,0.28715714616386745
entropy,7,10,20,0.2525965165302637,0.02896702791275085,89,0.28715714616386745
