param_classifier__max_depth,param_classifier__min_samples_leaf,param_classifier__min_samples_split,mean_test_score,std_test_score,rank_test_score,mean_train_score
7,10,50,0.4163322496066442,0.018400066761217318,1,0.4374687992945672
7,10,2,0.4159602222032458,0.01934157391677358,2,0.438479818698048
7,10,20,0.4159602222032458,0.01934157391677358,2,0.438479818698048
7,1,50,0.4154012092904208,0.01843706480224448,4,0.4397943499454973
7,1,20,0.4153456039436768,0.01941585918571068,5,0.4402542194036501
7,1,2,0.41498457882159007,0.0196360475575923,6,0.44193563641890277
7,25,2,0.4148527559882206,0.01937847869966749,7,0.43451357016364955
7,25,20,0.4148527559882206,0.01937847869966749,7,0.43451357016364955
7,25,50,0.4148527559882206,0.01937847869966749,7,0.43451357016364955
10,1,50,0.40681319461156484,0.010312723889620247,10,0.4520997397788811
10,10,50,0.40677680135806205,0.012033416027733439,11,0.44424352662866207
10,1,20,0.40658900155495215,0.010861751515296805,12,0.45844985793235027
10,10,2,0.40591049076857255,0.012498580190706987,13,0.4498326772864457
10,10,20,0.40591049076857255,0.012498580190706987,13,0.4498326772864457
10,1,2,0.40547945293761645,0.009809437222502212,15,0.46516521406837946
10,25,2,0.3980538084599102,0.018398175270739593,16,0.4366280323461321
10,25,20,0.3980538084599102,0.018398175270739593,16,0.4366280323461321
10,25,50,0.3980538084599102,0.018398175270739593,16,0.4366280323461321
5,10,2,0.3812567761298685,0.008984795798360147,19,0.391008010390372
5,10,20,0.3812567761298685,0.008984795798360147,19,0.391008010390372
5,10,50,0.3812362300411346,0.009001474596564373,21,0.3908593403569457
5,25,2,0.3804356517865701,0.010032343024758403,22,0.3893546258205793
5,25,20,0.3804356517865701,0.010032343024758403,22,0.3893546258205793
5,25,50,0.3804356517865701,0.010032343024758403,22,0.3893546258205793
5,1,20,0.38041710239231374,0.008796927906411381,25,0.39132813980919723
5,1,50,0.38032282206547524,0.008887693149178326,26,0.39122019934572316
5,1,2,0.37999166791304395,0.008971258088952517,27,0.3918501307539034
,25,2,0.3445122632676014,0.005805312241004105,28,0.45205069933419606
,25,20,0.3445122632676014,0.005805312241004105,28,0.45205069933419606
,25,50,0.3445122632676014,0.005805312241004105,28,0.45205069933419606
,10,50,0.3423094142636605,0.004672090561359093,31,0.4751753335193071
,10,2,0.3367153379951411,0.00290246644079494,32,0.5361703268643514
,10,20,0.3367153379951411,0.00290246644079494,32,0.5361703268643514
,1,50,0.3337828009703462,0.0036430003945868775,34,0.5063222729329049
,1,20,0.3227717926394896,0.006988543510392936,35,0.6057439247023444
3,1,20,0.31174276261239936,0.00691383651510896,36,0.312040067704747
3,1,50,0.31174276261239936,0.00691383651510896,36,0.312040067704747
3,10,2,0.31174276261239936,0.00691383651510896,36,0.31203567316678227
3,10,20,0.31174276261239936,0.00691383651510896,36,0.31203567316678227
3,10,50,0.31174276261239936,0.00691383651510896,36,0.31203567316678227
3,25,2,0.3117148375710163,0.006923675434522421,41,0.31190855070728485
3,25,20,0.3117148375710163,0.006923675434522421,41,0.31190855070728485
3,25,50,0.3117148375710163,0.006923675434522421,41,0.31190855070728485
3,1,2,0.31168861349627586,0.006853827981748425,44,0.3121115520728838
,1,2,0.3048185561957724,0.008948226579275154,45,1.0
