model,train_accuracy,test_accuracy,error_rate,precision_yes,recall_yes,f1_yes,balanced_accuracy,pr_auc_yes,roc_auc_yes,tree_depth,leaf_count,node_count,true_positive_yes,false_negative_yes,false_positive_yes,true_negative_no,cv_f1_yes,selected_by_training_cv
Baseline,1.0,0.8286314857838256,0.17136851421617438,0.29490392648287383,0.333648393194707,0.31308203991130823,0.6139486170960379,0.17638957468612487,0.6139486170960379,45,4727,9453,353,705,844,7137,0.31141964897921526,False
Controlled complexity,0.9154220599623852,0.8801858612678394,0.11981413873216062,0.48031496062992124,0.2882797731568998,0.3603071470761961,0.623465785588599,0.307099660916455,0.7243386881272131,49,1344,2687,305,753,330,7651,0.3560430378023983,False
Cost-complexity pruning,0.9191005642217059,0.8877088173470516,0.11229118265294835,0.5347334410339257,0.31285444234404536,0.394752534287418,0.6383843693990618,0.3666173152249522,0.7377165143397041,28,393,785,331,727,288,7693,0.363801426209381,False
Balanced class weights,0.833969465648855,0.8304015930965815,0.16959840690341854,0.3568414707655214,0.5595463137996219,0.43577475156422524,0.7129268970326263,0.37278212449668313,0.759770842802696,7,66,131,592,466,1067,6914,0.4163322496066442,True
