param_classifier__ccp_alpha,mean_test_score,std_test_score,rank_test_score,mean_train_score
6.051e-05,0.363801426209381,0.013193469706339278,1,0.6285565014095738
8.675e-05,0.363282404738975,0.01739077781764514,2,0.4882634259748621
7.049e-05,0.3611849955926128,0.004329354143843277,3,0.5647272518196893
6.537e-05,0.3596685138982013,0.012263943935777462,4,0.5891234218333993
5.647e-05,0.3588857047779356,0.011762868344850977,5,0.6645132018851623
5.155e-05,0.3559029794775996,0.016525269037563396,6,0.7177003353591636
0.00012346,0.35002157832635755,0.020789081065420288,7,0.39373178728249625
4.779e-05,0.3493678836141093,0.014997965607440482,8,0.7548982229360968
4.452e-05,0.3462982907547749,0.012661666708896372,9,0.7921169666683012
4.215e-05,0.34325315938376955,0.014315035132256163,10,0.8149928536473044
3.984e-05,0.3409073328050021,0.01325880797260204,11,0.8413112947588542
3.736e-05,0.33915811021959164,0.010638114903090636,12,0.8598838390803692
3.504e-05,0.3376322275340353,0.008560185332525533,13,0.8721470482892639
3.319e-05,0.330121708430173,0.009476427245124805,14,0.9066529987016262
3.069e-05,0.3215218925868113,0.010764984551491892,15,0.9495294568537421
2.811e-05,0.31687627326514545,0.010088802571056831,16,0.9675847365904338
2.693e-05,0.3159427175790613,0.009797359846183028,17,0.9734114271915736
2.635e-05,0.31549894182158483,0.009358841005132365,18,0.975611294388929
2.371e-05,0.3151973813807156,0.009487371870508098,19,0.9816097026192055
2.539e-05,0.31488555548749997,0.009350550499835047,20,0.9792781834773212
2.105e-05,0.31246211764964194,0.008211079106688108,21,0.9965014806038772
1.747e-05,0.31222634254370746,0.008041017980782694,22,0.9976604128097328
1.821e-05,0.31222634254370746,0.008041017980782694,22,0.9976604128097328
0.0,0.31141964897921526,0.008693869897731256,24,1.0
0.00312737,0.28806970919197905,0.011165299322548134,25,0.2881256350723954
